"date_report","sp500","year","week","non_restricted_members","affiliates","apple_search","google_search","bing_search","tiktok","spotify","pinterest","buzzfeed","influencer","ooh","facebook","instagram","audience_network","elle_raise","money_cheat_sheet","opinionated","weekly_events","tofu_emails","instagram_followers","instagram_new_followers","instagram_likes","instagram_comments","Instagram_posts","instagram_impressions","instagram_reach","instagram_bio_clicks","facebook_followers","facebook_new_followers","linkedin_followers","linkedin_new_followers","twitter_followers","twitter_new_followers","tiktok_followers","tiktok_new_followers","campaigns","promos","campaigns_promos","interview","other_appearance","podcast","speaking","tv"
2020-07-05,3185.04,2020,28,527,1380,119.83,3334.12,1390.51,0,0,0,0,0,0,6371.290627,5628.73571,652.713684,126899,127890,128223,0,0,182457,989,25029,533,20,1280261,97832,97832,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2020-07-12,3224.73,2020,29,682,2025,208.82,2793.74,1811.66,0,0,0,0,0,0,2962.764598,4000.364874,193.890526,134072,124355,125667,0,0,183493,1036,360234,712,19,1312743,110298,110298,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1
2020-07-19,3215.63,2020,30,819,1985,305.36,1927.48,122.88,0,0,0,0,0,0,1275.058027,4358.323049,75.058644,138285,141360,141253,0,0,184299,806,16766,297,17,960775,82292,82292,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
2020-07-26,3271.12,2020,31,520,1855,151.02,1528.79,12.12,0,0,0,0,0,0,63.66,138.72,0.27,131794,132591,134550,0,0,184997,698,28773,241,17,904943,81437,81437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-08-02,3351.28,2020,32,612,2260,185.81,1444.66,172.94,0,0,0,0,0,0,965.758451,2203.551942,28.219607,130137,131308,131745,0,0,186036,1039,28926,427,15,631368,48774,48774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-08-09,3372.85,2020,33,502,1890,146.06,1553.01,181.08,0,0,0,0,0,0,956.305202,2457.434799,8.740001,122229,128869,129283,0,0,186864,828,14763,259,15,674328,55454,55454,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-08-16,3397.16,2020,34,484,1610,154.66,1569.32,156.71,0,0,0,0,0,0,1038.507003,2579.912997,1.49,94923,96777,112715,0,0,187984,1120,38206,499,20,209780,42573,42573,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-08-23,3508.01,2020,35,500,1850,162.47,1645.99,190.91,0,0,0,0,0,0,1079.39,2523.5,1.5,89381,91089,92758,0,0,189502,1518,24403,252,18,872835,66052,66052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-08-30,3426.96,2020,36,677,3525,153.43,2121.76,177.07,0,0,0,0,0,0,1134.81,2602.88,0.31,86655,87705,88775,0,0,190539,1037,23353,280,19,996555,78452,78452,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2020-09-06,3340.97,2020,37,574,2550,156.39,1717.44,176.99,0,0,0,0,0,0,1601.09,3171.13,0.29,0,83916,83875,0,0,191188,649,34421,423,19,1017279,74973,74973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-13,3319.47,2020,38,510,1885,283.02,1727.39,191.51,0,0,0,0,0,0,1889.011722,3946.548276,0.45,78091,79759,79952,0,0,191830,642,32476,386,21,1118193,83636,83636,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2020-09-20,3298.46,2020,39,448,1280,192.15,1699.25,202.02,0,0,0,0,0,0,3925.513945,5078.256114,62.739941,75418,76072,76771,0,0,191846,16,40895,693,19,943026,81940,81940,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2020-09-27,3348.42,2020,40,794,1390,405.49,1635.55,233.25,0,0,0,0,0,0,2986.53622,3108.32378,26.12,0,73445,74043,0,0,192054,208,29229,411,18,951025,80541,80541,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
2020-10-04,3477.14,2020,41,565,1930,234.13,1381.26,273.93,0,0,0,0,0,0,2100.741104,4776.538131,22.320537,78383,78004,73008,0,329275,192625,571,19318,334,16,755061,59460,59460,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-10-11,3483.81,2020,42,537,2220,195.86,1476.75,179.23,0,0,0,0,0,0,4234.996405,7275.273625,7,77675,78398,78704,0,0,193243,618,32579,350,20,1026462,95153,95153,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0
2020-10-18,3465.39,2020,43,567,1996,194.16,1300.63,248.06,0,0,0,0,0,0,4901.385035,4513.8652,17.059866,99490,100032,96871,0,199006,194008,765,24974,164,19,129016,118241,118241,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0
2020-10-25,3269.96,2020,44,477,1420,301.9,1404.32,190.68,0,0,0,0,0,0,6295.535558,3500.112886,31.290846,0,103409,100277,0,189081,194402,394,29036,328,20,872320,72039,72039,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2020-11-01,3509.44,2020,45,464,1340,425.33,1376.43,167.28,0,0,0,0,0,0,7642.528096,4862.321937,27.769907,0,101938,0,0,57439,195165,763,25168,333,21,944482,73192,73192,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
2020-11-08,3585.15,2020,46,599,2045,1067.67,1609.07,219.51,0,0,0,0,0,0,10621.190467,5410.054717,64.799055,99875,100404,100239,0,102695,195770,605,101672,1208,20,1892816,160153,160153,0,0,42628,0,0,0,0,0,0,1,1,0,1,1,2,0
2020-11-15,3557.54,2020,47,488,1605,1098.25,1414.11,203.49,0,0,0,0,0,0,6712.475418,5667.564752,80.079713,0,94862,95671,0,0,196511,741,21044,165,20,1190236,103355,103355,86273,0,42628,0,21903,0,0,0,0,1,1,0,0,1,2,0
2020-11-22,3638.35,2020,48,573,1720,1097.58,1372.97,177.36,0,0,0,0,0,0,6754.446464,9138.463642,43.139953,0,0,95263,0,201325,196946,435,21935,274,20,1157996,90103,90103,86317,44,43000,372,21996,93,0,0,0,1,1,0,0,0,0,0
2020-11-29,3699.12,2020,49,1011,1710,1080.8,1626.87,233.65,0,0,0,0,0,0,9502.98984,13227.170211,25.539961,92116,92446,93959,0,267275,197659,713,20887,359,20,1369576,128864,128864,86361,44,43034,34,22061,65,0,0,0,1,1,0,0,0,5,0
2020-12-06,3663.46,2020,50,619,1580,1163.1,1480.13,172.7,0,0,0,0,0,0,11434.832902,12872.777225,12.849876,87437,88801,88603,0,0,200479,2820,52036,806,20,1946453,183260,183260,86390,29,43091,57,22103,42,0,0,0,0,0,3,0,1,1,0
2020-12-13,3709.41,2020,51,617,1040,1451.14,1453.46,197.88,0,0,0,0,0,0,10235.978383,9336.814488,2952.947137,0,87685,105563,0,0,201604,1125,51801,566,20,1783599,148994,148994,86429,39,43241,150,22164,61,0,0,0,0,0,0,0,0,1,0
2020-12-20,3703.06,2020,52,492,1020,1697.25,1286.23,162.46,0,0,0,0,0,0,5884.22,4914.32,2379.7,0,0,85511,0,0,202691,1087,39532,471,20,1461900,124491,124491,86484,55,43303,62,22198,34,0,0,0,0,0,0,0,0,0,0
2020-12-27,3756.07,2020,53,869,2170,2099.28,1286.89,259.01,0,0,0,0,0,0,9763.783493,5851.256886,712.029622,63487,64313,64269,0,59142,203569,878,20482,253,25,840276,71192,71192,86508,24,43499,196,22277,79,0,0,0,1,1,0,0,0,0,0
