"date_report","sp500","non_restricted_members","affiliates","apple_search","google_search","bing_search","tik_tok","spotify","pinterest","buzzfeed","influencer","ooh","audience_network","facebook","instagram","total_paid_spend","elle_raise","money_cheat_sheet","opinionated","weekly_events","tofu_emails","instagram_impressions","campaigns","promos","campaigns_promos","interview","other_appearance","podcast","speaking","tv","sally_opinionated","non_restricted_tp","google_org","meta_app","meta_web","audience_network_app","audience_network_web","facebook_app","facebook_web","instagram_app","instagram_web","unrestricted_new_member_executive","unrestricted_new_member_plus","unrestricted_new_member_essential","pwm_leads_self_reporting","pwm_leads_website","pwm_leads"
2020-07-05,3130.01,48,90,7.61,199.72,52,0,0,0,0,0,0,38.26,1362.23,875.84,2625.66,0,0,0,0,0,182894,0,0,0,0,0,0,0,0,0,16,0,842.27,1434.06,37.28,0.98,190.68,1171.55,614.31,261.53,10,14,24,1,0,1
2020-07-06,3179.72,95,80,17.68,218.46,50.93,0,0,0,0,0,0,39.48,1218.96,988.12,2613.63,0,0,0,0,0,182894,0,0,0,0,0,0,0,0,0,42,0,850.52,1396.04,38.44,1.04,162.97,1055.99,649.11,339.01,22,34,39,0,2,2
2020-07-07,3145.32,102,170,19.32,461.27,51.19,0,0,0,0,0,0,75.899982,825.256191,933.033839,2535.970012,0,0,128223,0,0,182894,0,0,0,0,1,0,0,0,1,50,0,916.64,917.550012,74.68,1.219982,204.5,620.756191,637.46,295.573839,33,27,42,0,0,0
2020-07-08,3169.94,86,390,18.67,620.62,313.69,0,0,0,0,0,0,115.563702,741.864436,769.211871,2969.620009,0,0,0,0,0,182894,0,0,0,0,0,0,0,0,0,37,0,938.480009,688.16,115.323702,0.24,302.954436,438.91,520.201871,249.01,22,28,36,0,0,0
2020-07-09,3152.05,78,210,12.57,631.23,308.73,0,0,0,0,0,0,144.66,835.09,711.25,2853.53,0,127890,0,0,0,182894,0,0,0,0,0,0,0,0,0,39,0,997.67,693.33,144.37,0.29,371.92,463.17,481.38,229.87,24,22,32,0,1,1
2020-07-10,3185.04,72,260,21.34,604.14,305.64,0,0,0,0,0,0,110.96,706.29,667.21,2675.58,126899,0,0,0,0,182894,0,0,0,1,0,0,0,0,0,37,0,1006.53,477.93,110.86,0.1,402.27,304.02,493.4,173.81,14,24,34,0,1,1
2020-07-11,3185.04,46,180,22.64,598.68,308.33,0,0,0,0,0,0,127.89,681.6,684.07,2603.21,0,0,0,0,0,182894,0,0,0,0,0,0,0,0,0,22,0,1081.07,412.49,127.62,0.27,410.81,270.79,542.64,141.43,12,14,20,0,0,0
2020-07-12,3185.04,67,270,8.05,600.72,300.74,0,0,0,0,0,0,114.95,739.73,549.56,2583.75,0,0,0,0,0,187535,0,0,0,0,0,0,0,0,0,32,0,1012.9,391.34,114.74,0.21,468.11,271.62,430.05,119.51,12,20,35,0,0,0
2020-07-13,3155.22,85,230,29.54,653.64,310.32,0,0,0,0,0,0,64.35,608.22,479.83,2375.9,0,0,0,0,0,187535,0,0,0,1,0,0,0,1,0,52,0,772.88,379.52,64.27,0.08,341.02,267.2,367.59,112.24,17,34,34,0,0,0
2020-07-14,3197.52,99,380,23.66,456.41,312.83,0,0,0,0,0,0,0.620206,316.322272,180.127521,1669.969999,0,0,125667,0,0,187535,0,0,0,0,0,0,1,0,1,48,0,103.659999,393.41,0.350206,0.27,49.312272,267.01,53.997521,126.13,19,37,43,0,0,0
2020-07-15,3226.56,92,440,13.34,356.06,315.06,0,0,0,0,0,0,0.34,290.707263,140.372737,1555.88,0,0,0,0,0,187535,0,0,0,2,0,0,0,0,0,46,0,29.28,402.14,0.22,0.12,12.47,278.237263,16.59,123.782737,16,37,38,0,3,3
2020-07-16,3215.57,136,270,38.46,291.34,311.02,0,0,0,0,0,0,6.67032,347.215063,657.914616,1922.619999,0,124355,0,0,0,187535,0,0,0,0,0,0,0,0,0,64,0,600.109999,411.69,6.53032,0.14,105.925063,241.29,487.654616,170.26,27,52,57,0,0,0
2020-07-17,3224.73,124,215,53.73,250.76,249.1,0,0,0,0,0,0,1.94,278.36,914.84,1963.73,134072,0,0,0,0,187535,0,0,0,1,0,0,0,0,0,58,0,784.69,410.45,1.84,0.1,120.49,157.87,662.36,252.48,27,43,54,0,0,0
2020-07-18,3224.73,79,220,42.04,184.81,12.59,0,0,0,0,0,0,5.02,382.21,1077.72,1924.39,0,0,0,0,0,187535,0,0,0,0,0,0,0,0,0,34,0,1053.71,411.24,4.86,0.16,165.13,217.08,883.72,194,21,24,34,0,0,0
2020-07-19,3224.73,86,200,41.68,178.89,4.56,0,0,0,0,0,0,14.74,367.86,854.36,1662.09,0,0,0,0,0,137254,0,0,0,0,0,0,0,0,0,28,0,847.77,389.19,14.64,0.1,148.42,219.44,684.71,169.65,15,28,43,0,0,0
